FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
555, WESTERN ARABIAN PENINSULA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
556, CHAD REGION,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
557, SUDAN,20,-,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
558, ETHIOPIA,21,-,1,1,35,ACRsh,85,ACRde,-,WARNING,ACRde
559, WESTERN GULF OF ADEN,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
560, NORTHWESTERN SOMALIA,20,-,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
561, OFF S. COAST OF NORTHWEST AFRICA,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
562, CAMEROON,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
563, EQUATORIAL GUINEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
564, CENTRAL AFRICAN REPUBLIC,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
565, GABON,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
566, REPUBLIC OF CONGO,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
567, DEMOCRATIC REPUBLIC OF CONGO,20,-,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
568, UGANDA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
569, LAKE VICTORIA REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
570, KENYA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
571, SOUTHERN SOMALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
572, LAKE TANGANYIKA REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
573, TANZANIA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
574, NORTHWEST OF MADAGASCAR,20,-,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
575, ANGOLA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
576, ZAMBIA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
577, MALAWI,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
578, NAMIBIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
579, BOTSWANA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
580, ZIMBABWE,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
581, MOZAMBIQUE,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
582, MOZAMBIQUE CHANNEL,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
583, MADAGASCAR,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
584, SOUTH AFRICA,20,-,0,1,35,ACRsh,-,WARNING,-,-,ACRsh
585, LESOTHO,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
586, SWAZILAND,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
587, OFF COAST OF SOUTH AFRICA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
743, WESTERN SAHARA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
744, MAURITANIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
745, MALI,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
746, SENEGAL - GAMBIA REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
747, GUINEA REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
748, SIERRA LEONE,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
749, LIBERIA REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
750, COTE D'IVOIRE,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
751, BURKINA FASO,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
752, GHANA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
753, BENIN - TOGO REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
754, NIGER,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
755, NIGERIA,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
588, NORTHWEST OF AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
589, WEST OF AUSTRALIA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
590, WESTERN AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
591," NORTHERN TERRITORY, AUSTRALIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
592, SOUTH AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
593, GULF OF CARPENTARIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
594," QUEENSLAND, AUSTRALIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
595, CORAL SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
596, NORTHWEST OF NEW CALEDONIA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
597, SOUTHWEST OF NEW CALEDONIA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
598, SOUTHWEST OF AUSTRALIA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
599, OFF SOUTH COAST OF AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
600, NEAR COAST OF SOUTH AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
601," NEW SOUTH WALES, AUSTRALIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
602," VICTORIA, AUSTRALIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
603, NEAR S.E. COAST OF AUSTRALIA,10,-,0,1,50,SCR,-,WARNING,-,-,SCR
604, NEAR EAST COAST OF AUSTRALIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
605, EAST OF AUSTRALIA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
606, NORFOLK ISLAND REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
607, NORTHWEST OF NEW ZEALAND,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
608, BASS STRAIT,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
609," TASMANIA REGION, AUSTRALIA REGION",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
610, SOUTHEAST OF AUSTRALIA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
611, NORTH PACIFIC OCEAN,40,a,0,1,40,SOR,-,WARNING,-,-,SOR
612, HAWAIIAN ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
613, HAWAII,24,-,0,0,65,HS,-,WARNING,-,-,HS
614," E. CAROLINE ISLANDS, MICRONESIA",23,-,0,1,55,OBR,-,WARNING,-,-,OBR
615, MARSHALL ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
616," ENEWETAK ATOLL REG, MARSHALL IS.",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
617," BIKINI ATOLL REG., MARSHALL IS.",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
618," GILBERT ISLANDS, KIRIBATI REGION",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
619, JOHNSTON ISLAND REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
620," LINE ISLANDS REGION, KIRIBATI",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
621," PALMYRA ISLAND REGION, KIRIBATI",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
622," KIRITIMATI REGION, KIRIBATI",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
623, TUVALU REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
624," PHOENIX ISLANDS, KIRIBATI REGION",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
625, TOKELAU ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
626, NORTHERN COOK ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
627, COOK ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
628, SOCIETY ISLANDS REGION,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
629, TUBUAI ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
630, MARQUESAS ISLANDS REGION,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
631, TUAMOTU ARCHIPELAGO REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
632, SOUTH PACIFIC OCEAN,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
633, LOMONOSOV RIDGE,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
634, ARCTIC OCEAN,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
635, NEAR NORTH COAST OF GREENLAND,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
636, EASTERN GREENLAND,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
637, ICELAND REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
638, ICELAND,24,-,0,1,65,HS,-,WARNING,-,-,HS
639, JAN MAYEN ISLAND REGION,23,-,1,1,55,OBR,-,WARNING,-,-,OBR
640, GREENLAND SEA,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
641, NORTH OF SVALBARD,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
642, NORWEGIAN SEA,23,-,1,0,55,OBR,-,WARNING,-,-,OBR
643, SVALBARD REGION,23,-,1,1,55,OBR,-,WARNING,-,-,OBR
644, NORTH OF FRANZ JOSEF LAND,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
645," FRANZ JOSEF LAND, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
646, NORTHERN NORWAY,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
647, BARENTS SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
648," NOVAYA ZEMLYA, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
649, KARA SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
650," NEAR COAST OF W. SIBERIA, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
651, NORTH OF SEVERNAYA ZEMLYA,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
652," SEVERNAYA ZEMLYA, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
653," NEAR COAST OF C. SIBERIA, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
654," EAST OF SEVERNAYA ZEMLYA, RUSSIA",23,-,0,0,55,OBR,-,WARNING,-,-,OBR
655, LAPTEV SEA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
656," SOUTHEASTERN SIBERIA, RUSSIA",20,-,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
657, E. RUSSIA-N.E. CHINA BORDER REG.,220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
658, NORTHEASTERN CHINA,220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
659, NORTH KOREA,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
660, SEA OF JAPAN,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
661," PRIMOR'YE, RUSSIA",220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
662," SAKHALIN, RUSSIA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
663, SEA OF OKHOTSK,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
664, SOUTHEASTERN CHINA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
665, YELLOW SEA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
666, OFF EAST COAST OF EASTERN CHINA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
667, NORTH OF NEW SIBERIAN ISLANDS,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
668," NEW SIBERIAN ISLANDS, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
669, EAST SIBERIAN SEA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
670, NEAR N. COAST OF EASTERN SIBERIA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
671," EASTERN SIBERIA, RUSSIA",20,c,1,1,35,ACRsh,-,WARNING,-,-,ACRsh
672, CHUKCHI SEA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
673, BERING STRAIT,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
674," ST. LAWRENCE ISLAND, ALASKA REG.",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
675, BEAUFORT SEA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
676, NORTHERN ALASKA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
677," NORTHERN YUKON TERRITORY, CANADA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
678," QUEEN ELIZABETH ISLANDS, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
679," NW TERRITORIES - NUNAVUT, CANADA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
680, WESTERN GREENLAND,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
681, BAFFIN BAY,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
682," BAFFIN ISLAND REGION, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
683, SOUTHEAST CENTRAL PACIFIC OCEAN,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
684, SOUTHERN EAST PACIFIC RISE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
685, EASTER ISLAND REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
686, WEST CHILE RISE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
687, JUAN FERNANDEZ ISLANDS REGION,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
688," EAST OF NORTH ISLAND, N.Z.",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
689," CHATHAM ISLANDS, N.Z. REGION",40,-,0,0,40,SOR,-,WARNING,-,-,SOR
690, SOUTH OF CHATHAM ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
691, PACIFIC-ANTARCTIC RIDGE,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
692, SOUTHERN PACIFIC OCEAN,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
756, SOUTHEAST OF EASTER ISLAND,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
693, EAST CENTRAL PACIFIC OCEAN,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
694, CENTRAL EAST PACIFIC RISE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
695, WEST OF GALAPAGOS ISLANDS,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
696, GALAPAGOS ISLANDS REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
697," GALAPAGOS ISLANDS, ECUADOR",24,-,0,0,65,HS,-,WARNING,-,-,HS
698, SOUTHWEST OF GALAPAGOS ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
699, SOUTHEAST OF GALAPAGOS ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
757, GALAPAGOS TRIPLE JUNCTION REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
700, SOUTH OF TASMANIA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
701, WEST OF MACQUARIE ISLAND,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
702, BALLENY ISLANDS REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
703," ANDAMAN ISLANDS, INDIA REGION",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
704," NICOBAR ISLANDS, INDIA REGION",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
705, OFF W COAST OF NORTHERN SUMATERA,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
706," NORTHERN SUMATERA, INDONESIA",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
707, MALAY PENINSULA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
708, GULF OF THAILAND,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
709, SOUTHEASTERN AFGHANISTAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
710, PAKISTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
711, SOUTHWESTERN KASHMIR,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
712, INDIA-PAKISTAN BORDER REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
713, CENTRAL KAZAKHSTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
714, SOUTHEASTERN UZBEKISTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
715, TAJIKISTAN,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
716, KYRGYZSTAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
717, AFGHANISTAN-TAJIKISTAN BORD REG.,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
718," HINDU KUSH REGION, AFGHANISTAN",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
719, TAJIKISTAN-XINJIANG BORDER REG.,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
720, NORTHWESTERN KASHMIR,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
721, FINLAND,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
722, NORWAY-RUSSIA BORDER REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
723, FINLAND-RUSSIA BORDER REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
724, BALTIC-BELARUS-NW RUSSIA REG.,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
725," NORTHWESTERN SIBERIA, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
726," NORTHCENTRAL SIBERIA, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
727," VICTORIA LAND, ANTARCTICA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
728, ROSS SEA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
729, ANTARCTICA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
