FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
60," OAXACA, MEXICO",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
61," CHIAPAS, MEXICO",34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
62, MEXICO-GUATEMALA BORDER REGION,33,a,1,0,15,SZInter,70,SZInter,999,SZIntra,-
63, OFF COAST OF MEXICO,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
64," OFF COAST OF MICHOACAN, MEXICO",23,-,0,0,55,OBR,-,WARNING,-,-,OBR
65," OFF COAST OF GUERRERO, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
66," NEAR COAST OF OAXACA, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
67," OFF COAST OF OAXACA, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
68," OFF COAST OF CHIAPAS, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
69," NEAR COAST OF CHIAPAS, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
70, GUATEMALA,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
71, NEAR COAST OF GUATEMALA,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
730, NORTHERN EAST PACFIC RISE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
72, HONDURAS,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
73, EL SALVADOR,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
74, NEAR COAST OF NICARAGUA,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
75, NICARAGUA,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
76, OFF COAST OF CENTRAL AMERICA,30,a,0,1,15,SZInter,70,SZInter,999,SZIntra,-
77, OFF COAST OF COSTA RICA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
78, COSTA RICA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
79, NORTH OF PANAMA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
80, PANAMA-COSTA RICA BORDER REGION,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
81, PANAMA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
82, PANAMA-COLOMBIA BORDER REGION,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
83, SOUTH OF PANAMA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
84," YUCATAN PENINSULA, MEXICO",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
85, CUBA REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
86, JAMAICA REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
87, HAITI REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
88, DOMINICAN REPUBLIC REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
89, MONA PASSAGE,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
90, PUERTO RICO REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
91, VIRGIN ISLANDS,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
92, LEEWARD ISLANDS,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
93, BELIZE,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
94, CARIBBEAN SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
95, WINDWARD ISLANDS,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
96, NEAR NORTH COAST OF COLOMBIA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
97, NEAR COAST OF VENEZUELA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
98, TRINIDAD,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
99, NORTHERN COLOMBIA,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
100," LAKE MARACAIBO, VENEZUELA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
101, VENEZUELA,221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
731, NORTH OF HONDURAS,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
102, NEAR WEST COAST OF COLOMBIA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
103, COLOMBIA,33,c,2,0,15,SZInter,70,SZInter,999,SZIntra,-
104, OFF COAST OF ECUADOR,30,a,0,1,15,SZInter,70,SZInter,999,SZIntra,-
105, NEAR COAST OF ECUADOR,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
106, COLOMBIA-ECUADOR BORDER REGION,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
107, ECUADOR,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
108, OFF COAST OF NORTHERN PERU,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
109, NEAR COAST OF NORTHERN PERU,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
110, PERU-ECUADOR BORDER REGION,33,a,2,0,15,SZInter,70,SZInter,999,SZIntra,-
